Name,Area,Type,Category,Distance_km,Rating,Reviews,Price_from_GHS,Price_source,Phone,Confirmed_Contact,Amenities,Colleges_nearby,Website,Latitude,Longitude,Google_Maps_URL,Image
Wagyingo Main Hostel,Ayeduase,Hostel,Hostel,1.1,4.2,503,9500,wagyingohostel.com,0549678089,yes,Backup power | Kitchen | Parking | Security | Self-contained | TV | Wi-Fi,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://www.wagyingohostel.com/,6.674776,-1.5616726,https://www.google.com/maps/search/?api=1&query=Wagyingo%20Main%20Hostel&query_place_id=ChIJhczeVWKU2w8RROfesHT1aEc,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMJverJd3m8h6dneNBFyArhi2Vr6UXHXuXNOzw2S_x2iCU9pULr-NWYEa9jv_HuHS4AWzu4-sAW997PN9YzLR3CsQmxGhtI53sftqJ18rcZ5Ilf2Z7kKbiJnTbd28uoOfILKoPAewhlwI=w1920-h1080-k-no
Victory Towers Hostel,Ayeduase,Hostel,Hostel,1.02,4.2,375,,,0279735421,yes,Air-conditioned | Security,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6756598,-1.562403,https://www.google.com/maps/search/?api=1&query=Victory%20Towers%20Hostel&query_place_id=ChIJqc52tmOU2w8Rv_0zNXXR_Qw,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFUbuYimy0rAHEamzdBHvMBs1IaoPw9GeP9tCzv00OamHJfhMUZQpV2u4ZcbQIpUhCUr96oc25p1fFUnX6Vv8OVJEisephCx2zULrzpXDjDvku-rQ2TVa0_4vB5QF_rcKx7-hCi=w1920-h1080-k-no
Whitpam B Hostel,Ayeduase,Hostel,Hostel,2.42,4.1,99,,,0249482939,yes,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.676955,-1.5498707,https://www.google.com/maps/search/?api=1&query=Whitpam%20B%20Hostel&query_place_id=ChIJhS-c_ZGU2w8RuBcxywratkw,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_ncGwP0ZAJterCpJsRmVjtXEH2SRsRNuVibuirgQpRwsFi_zAyNKOX-nYScqJccgjCDhtp4kavMyOgWC51fMpt2b8bD2X4OQ-0-MinTJ3II2iZVAyMHHs-CGb4Gd_TzwZL-Zkhz6IEDpy=w1920-h1080-k-no
Glory Be to God Hostel (Annex),Ayeduase,Hostel,Lodging,1.74,4,264,,,0242002594,yes,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6763561,-1.5560002,https://www.google.com/maps/search/?api=1&query=Glory%20Be%20to%20God%20Hostel%20(Annex)&query_place_id=ChIJc6AOaomU2w8RqqloSl3VP6A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvHbG0oXW6qrHHtGBs6_4JHXaXsTumAv2R4D0yv4E_TgJNFqAmSAp8U6XAWbv_nShLwEIVXO-HhxjeNJKc8In-j3XQJkSNysWibKntJUlx5HafVLRMWJBSTTAViIlR8tnQ8tdN=w1920-h1080-k-no
American House Hostel,Ayeduase,Hostel,Hostel,2.35,4,171,,,0208133921,yes,Backup power | Kitchen | Parking | Self-contained | TV,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6741392,-1.5503366,https://www.google.com/maps/search/?api=1&query=American%20House%20Hostel&query_place_id=ChIJZf-O0I-U2w8Ri6lutOGMoHw,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEN5auYCpkrBfruukeDt6FsA4Hw2vq3ecCl1ygDnCpfznyJQf5bnZA9F69Frbr4DzAJW648pg_aOMn7dbFRb4Ra23MlTD2zckY_84wvx-ZPAPD1V4ooxc9IfXpUvTxV_7sVncWqyuctBVA=w1920-h1080-k-no
Splendor Hostel,Ayeduase,Hostel,Hostel,1.59,4,94,,,0204609165,yes,Backup power | Fitness center | Pool | Study room | TV | Water,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6774951,-1.5575244,https://www.google.com/maps/search/?api=1&query=Splendor%20Hostel&query_place_id=ChIJWeBmHwSV2w8RW0kYL0G1UMY,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyM4SuNHDfMHgCVp40KNL9o-2oi0Osin2gcExao7jLn-LjUI981M4C0vF023JDFBMm9dgc8Rv0LJjJQvxudVJPt8zQxKXSoyBMNWqAaVWy1FiZ0r_YEHPY4Kjb3LZaBN872Dci=w1920-h1080-k-no
WestEnd Hostel,Ayeduase,Hostel,Hostel,0.98,3.9,479,,,0243881354,yes,Air-conditioned | Backup power | Fitness center | Kitchen | Pool | Security | Study room | TV | Water | Wi-Fi,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://hostelgig.com/_hostels/index.php?vh=West%20End%20Hostel,6.6777778,-1.5633333,https://www.google.com/maps/search/?api=1&query=WestEnd%20Hostel&query_place_id=ChIJLd4IXWGU2w8RSKPfOUmz7Nw,https://lh3.googleusercontent.com/gps-cs-s/APNQkAElrrH2xaJ0r6rWIAg2y7m390l8rCMRHgRW_Q6SEahhgyuxyToPKBvjJ8I2XSv1NpInhkOyiNzkcA6Hsrk4wkWvtzQv4EDk637U4EV_6UGnZoarCd57-9u9lOdlMb-lppNUzLdxGg=w1920-h1080-k-no
Amandah Hostel,Ayeduase,Hostel,Hostel,1.04,3.9,154,,,0549268839,yes,Backup power | Kitchen | Parking | Security | Self-contained | TV,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://getrooms.co/,6.6731206,-1.5623281,https://www.google.com/maps/search/?api=1&query=Amandah%20Hostel&query_place_id=ChIJVdKpLmOU2w8RFW-xoC_O9o8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGs1uxstLV-3rxFJNwypamUU855khTOeSJSe_27x_zvDUIC7qgIJcccJcpcKGQV9PvidzqMo2c8g_hYDZh7ltUxnAriFjypZ15WdgqBwFo_91xnPL6DM3yGTN6d59EHv74XrVsA=w1920-h1080-k-no
Nyberg Hostel,Ayeduase,Hostel,Hostel,1.43,3.9,56,,,0244572880,yes,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6741427,-1.5586868,https://www.google.com/maps/search/?api=1&query=Nyberg%20Hostel&query_place_id=ChIJ12hRszKV2w8RhLdnnuwkZVM,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9zeIQBWBUqzuqTCyCG5Sl4GKGjrTZGbzYKJEWwbS9Vs_0sh0UVWpIO35EE5Xq4Dl-PxKBZ68-yKXKc69YMJShUJzqOc443_mfDbF_2WHlYCAYSifHPy1yA3UL9_0y8KV27rMxOUIQW-i4=w1920-h1080-k-no
High Achievers Hostel,Ayeduase,Hostel,Hostel,2.46,3.9,45,2700,getrooms.co,0247601078,yes,Security | TV | Wi-Fi,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://hostelgig.com/,6.6734409,-1.5493281,https://www.google.com/maps/search/?api=1&query=High%20Achievers%20Hostel&query_place_id=ChIJvUORxkCV2w8R-TcRqQCsdm4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHnrYiHPCl_GsFlrER2MHlzrr6IC8LM3pLeOHLrg_Ci3MiLvc7pBYvSjcGO6-5Bx2MJhKY-USJsX-zjefpsYiBRouILbNIQ_9n64ueC_ZVZieAsuasdUc-DWuOO_tA596rqvhfp_gfVx-xB=w1920-h1080-k-no
Nevada Annex,Ayeduase,Hostel,Hostel,2.33,3.9,7,,,0546822770,yes,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.670927,-1.5507706,https://www.google.com/maps/search/?api=1&query=Nevada%20Annex&query_place_id=ChIJdV-qoquV2w8RCjLnMvQGeLE,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPLEjxvq32DFwK_OrWFV3gXRXBrusU2suME2fhsuLdS8IrrRZsYTBWuVCutvLK44U-nJY_0SYyLOQwKnDmsLFWMIxh-75HYGZFPRQpQgOWpNCtZSfIxrIE-OpPMybmJjRAooLKJ7h75qw=w1920-h1080-k-no
Frontline INN hostel,Ayeduase,Hostel,Hostel,1.06,3.8,375,3200,getrooms.co,0208172263,yes,Air-conditioned | Backup power | Kitchen | Parking | Security | Self-contained | TV | Wi-Fi,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),http://frontlinehostel.com/,6.6720756,-1.5622748,https://www.google.com/maps/search/?api=1&query=Frontline%20INN%20hostel&query_place_id=ChIJBxxJK2OU2w8RofF4hiixvvo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVw5MWwT0oCXf8eeFSuXE39ftDSWiVjg-g5dMuud0sJSC3-Al0W_wTizdUqIBNk3wZdy5kSPfiGd4kOOrMyT336f80xTxMmMuzUpH_SB2Q5A8tS9JpH2LCvcWNEpOq35W42sYO=w1920-h1080-k-no
By His Grace Hostel,Ayeduase,Hostel,Hostel,1.0,3.8,182,2700,getrooms.co,0277090109,yes,Kitchen | Study room | Water | Wi-Fi,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://hostelgig.com/,6.6770126,-1.5629055,https://www.google.com/maps/search/?api=1&query=By%20His%20Grace%20Hostel&query_place_id=ChIJve7v22OU2w8RSk1EEDPX-40,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8rbxdBrcdrghtapwCe_aGnMth0-47CLsXkE1-bTZ5CKeF0RHLL9ReEWdHl4mUgq9Z6cpAt_W65ue3Y14RY99vbXV-MZsNyQGoEcdAfQQmJkVvpM09u8y5AnP7M-nA5wGz-FfxENQQHpsf=w1920-h1080-k-no
Enin Hostel,Ayeduase,Hostel,Youth hostel,2.41,3.8,51,2700,getrooms.co,0242820355,yes,Kitchen | Study room | Water | Wi-Fi,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6718691,-1.5498987,https://www.google.com/maps/search/?api=1&query=Enin%20Hostel&query_place_id=ChIJpVnLjNyV2w8RomxZIKbP7rw,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEaOI3vmWLTmpe4w0zHziBqunupDJ28xREjzV3CAIpe07zfilNNUeF7nPBZY6yDJf1HkPobQN1Zg1mmuQNzd8LW4HTp6i8Y2O_DpSR0f4sdxC2ITdwaI6XAGT7-FVfFRTRjqb1Lig=w1920-h1080-k-no
Nevada Hostel Limited,Ayeduase,Hostel,Hostel,2.02,3.7,255,,,0546822770,yes,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),http://nevada.studentroombook.com/,6.6727784,-1.5533851,https://www.google.com/maps/search/?api=1&query=Nevada%20Hostel%20Limited&query_place_id=ChIJb66Aj-eV2w8RhVTFf9R-E8w,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAdxBZrlBaR3IENi41N5J5a6YR_ywSBolI4KSTgRZxlTusnrTgq3BLavlPnmBNrv0K8cLGMUmHFwMHHopq_JhF-zElzt1IRi3LOlrJWV47G1NFhuMZtHxF-ud_K7eRTemsBjN7Ug=w1920-h1080-k-no
